"","gender","age_group","education","unemployed","have_partner","depressed","children_presence","housing_financial_difficulties","selfrated_health","critical_job","weight"
"186","f","_1","high","no","no","no","yes","yes","good","yes",0.00394933031739674
"187","m","_2","high","no","no","no","yes","yes","good","yes",0.042684112912853
"188","f","_2","high","no","no","no","yes","yes","good","yes",0.0174915325397061
"189","m","_3","high","no","no","no","yes","yes","good","yes",0.0504031939645657
"190","f","_3","high","no","no","no","yes","yes","good","yes",0.022426345068369
"191","m","_4","high","no","no","no","yes","yes","good","yes",0.0180540003427616
"192","f","_4","high","no","no","no","yes","yes","good","yes",0.0056054316501697
"193","m","_1","low","yes","yes","yes","no","yes","good","yes",0.00483875012453762
"194","f","_1","low","yes","yes","yes","no","yes","good","yes",0.00489501147050405
"195","m","_2","low","yes","yes","yes","no","yes","good","yes",0.013359484426213
"196","f","_2","low","yes","yes","yes","no","yes","good","yes",0.0117573861677837
"197","m","_3","low","yes","yes","yes","no","yes","good","yes",0.0292480855687494
"198","f","_3","low","yes","yes","yes","no","yes","good","yes",0.0279484269772153
"199","m","_4","low","yes","yes","yes","no","yes","good","yes",0.00691354292502115
"200","f","_4","low","yes","yes","yes","no","yes","good","yes",0.00460994518159201
"201","m","_1","middle","yes","yes","yes","no","yes","good","yes",0.128282868725533
"202","f","_1","middle","yes","yes","yes","no","yes","good","yes",0.192550098817733
"203","m","_2","middle","yes","yes","yes","no","yes","good","yes",0.111744640525532
"204","f","_2","middle","yes","yes","yes","no","yes","good","yes",0.145915810459717
"205","m","_3","middle","yes","yes","yes","no","yes","good","yes",0.144141316772183
"206","f","_3","middle","yes","yes","yes","no","yes","good","yes",0.204363331677317
"207","m","_4","middle","yes","yes","yes","no","yes","good","yes",0.0245011481045354
"208","f","_4","middle","yes","yes","yes","no","yes","good","yes",0.024240194331811
"209","m","_1","high","yes","yes","yes","no","yes","good","yes",0.376130003238926
"210","f","_1","high","yes","yes","yes","no","yes","good","yes",0.485559033011132
"211","m","_2","high","yes","yes","yes","no","yes","good","yes",0.206132757429561
"212","f","_2","high","yes","yes","yes","no","yes","good","yes",0.231500343270978
"213","m","_3","high","yes","yes","yes","no","yes","good","yes",0.196701380759606
"214","f","_3","high","yes","yes","yes","no","yes","good","yes",0.23985615924682
"215","m","_4","high","yes","yes","yes","no","yes","good","yes",0.0420268109838089
"216","f","_4","high","yes","yes","yes","no","yes","good","yes",0.0357606229834349
"217","m","_1","low","no","yes","yes","no","yes","good","yes",7.31518990094443e-05
"218","f","_1","low","no","yes","yes","no","yes","good","yes",6.74529580035345e-05
"219","m","_2","low","no","yes","yes","no","yes","good","yes",0.000129909451580033
"220","f","_2","low","no","yes","yes","no","yes","good","yes",0.000104211755146924
"221","m","_3","low","no","yes","yes","no","yes","good","yes",0.000262829708011771
"222","f","_3","low","no","yes","yes","no","yes","good","yes",0.000228922907828568
"223","m","_4","low","no","yes","yes","no","yes","good","yes",8.62696847379557e-05
"224","f","_4","low","no","yes","yes","no","yes","good","yes",5.24334198778875e-05
"225","m","_1","middle","no","yes","yes","no","yes","good","yes",0.00243128661396504
"226","f","_1","middle","no","yes","yes","no","yes","good","yes",0.00332633601387104
"227","m","_2","middle","no","yes","yes","no","yes","good","yes",0.00136223752834254
"228","f","_2","middle","no","yes","yes","no","yes","good","yes",0.00162137460215613
"229","m","_3","middle","no","yes","yes","no","yes","good","yes",0.00162383007037308
"230","f","_3","middle","no","yes","yes","no","yes","good","yes",0.00209850469369032
"231","m","_4","middle","no","yes","yes","no","yes","good","yes",0.000383282569421503
"232","f","_4","middle","no","yes","yes","no","yes","good","yes",0.000345639690251893
"233","m","_1","high","no","yes","yes","no","yes","good","yes",0.0100605511320108
"234","f","_1","high","no","yes","yes","no","yes","good","yes",0.0118380646972312
"235","m","_2","high","no","yes","yes","no","yes","good","yes",0.00354641413964392
"236","f","_2","high","no","yes","yes","no","yes","good","yes",0.0036303538078508
"237","m","_3","high","no","yes","yes","no","yes","good","yes",0.0031273450578471
"238","f","_3","high","no","yes","yes","no","yes","good","yes",0.00347595499746732
"239","m","_4","high","no","yes","yes","no","yes","good","yes",0.000927844867484078
"240","f","_4","high","no","yes","yes","no","yes","good","yes",0.000719629379193908
"241","m","_1","low","yes","no","yes","no","yes","good","yes",0.0209232356309456
"242","f","_1","low","yes","no","yes","no","yes","good","yes",0.0149384776305006
"243","m","_2","low","yes","no","yes","no","yes","good","yes",0.086323242828471
"244","f","_2","low","yes","no","yes","no","yes","good","yes",0.0536174071300268
"245","m","_3","low","yes","no","yes","no","yes","good","yes",0.177913160599529
"246","f","_3","low","yes","no","yes","no","yes","good","yes",0.119984453179581
"247","m","_4","low","yes","no","yes","no","yes","good","yes",0.0438377360977004
"248","f","_4","low","yes","no","yes","no","yes","good","yes",0.0206300457992307
"249","m","_1","middle","yes","no","yes","no","yes","good","yes",0.970999424365323
"250","f","_1","middle","yes","no","yes","no","yes","good","yes",1.02861068605958
"251","m","_2","middle","yes","no","yes","no","yes","good","yes",1.26391948806165
"252","f","_2","middle","yes","no","yes","no","yes","good","yes",1.1648018075471
"253","m","_3","middle","yes","no","yes","no","yes","good","yes",1.53480701011443
"254","f","_3","middle","yes","no","yes","no","yes","good","yes",1.53576667697849
"255","m","_4","middle","yes","no","yes","no","yes","good","yes",0.271949677719033
"256","f","_4","middle","yes","no","yes","no","yes","good","yes",0.189886979789051
"257","m","_1","high","yes","no","yes","no","yes","good","yes",1.93008321871246
"258","f","_1","high","yes","no","yes","no","yes","good","yes",1.75847853594125
"259","m","_2","high","yes","no","yes","no","yes","good","yes",1.58061998259293
"260","f","_2","high","yes","no","yes","no","yes","good","yes",1.25282113529932
"261","m","_3","high","yes","no","yes","no","yes","good","yes",1.41990878218202
"262","f","_3","high","yes","no","yes","no","yes","good","yes",1.22197097047719
"263","m","_4","high","yes","no","yes","no","yes","good","yes",0.31623963315475
"264","f","_4","high","yes","no","yes","no","yes","good","yes",0.189911784045491
"265","m","_1","low","no","no","yes","no","yes","good","yes",0.000181840326598711
"266","f","_1","low","no","no","yes","no","yes","good","yes",0.000118337550159629
"267","m","_2","low","no","no","yes","no","yes","good","yes",0.000482556028490226
"268","f","_2","low","no","no","yes","no","yes","good","yes",0.000273199992688002
"269","m","_3","low","no","no","yes","no","yes","good","yes",0.000919081512619169
"270","f","_3","low","no","no","yes","no","yes","good","yes",0.000564970547689252
"271","m","_4","low","no","no","yes","no","yes","good","yes",0.000314466663390729
"272","f","_4","low","no","no","yes","no","yes","good","yes",0.000134890561735792
"273","m","_1","middle","no","no","yes","no","yes","good","yes",0.0105792630440852
"274","f","_1","middle","no","no","yes","no","yes","good","yes",0.0102150936221262
"275","m","_2","middle","no","no","yes","no","yes","good","yes",0.00885756800567472
"276","f","_2","middle","no","no","yes","no","yes","good","yes",0.00744049788326458
"277","m","_3","middle","no","no","yes","no","yes","good","yes",0.00993973522831578
"278","f","_3","middle","no","no","yes","no","yes","good","yes",0.00906569613410569
"279","m","_4","middle","no","no","yes","no","yes","good","yes",0.00244562648898526
"280","f","_4","middle","no","no","yes","no","yes","good","yes",0.00155650902971233
"281","m","_1","high","no","no","yes","no","yes","good","yes",0.0296776000077682
"282","f","_1","high","no","no","yes","no","yes","good","yes",0.024645900477501
"283","m","_2","high","no","no","yes","no","yes","good","yes",0.0156328749016869
"284","f","_2","high","no","no","yes","no","yes","good","yes",0.0112941963112586
"285","m","_3","high","no","no","yes","no","yes","good","yes",0.0129777016685713
"286","f","_3","high","no","no","yes","no","yes","good","yes",0.0101801248951626
"287","m","_4","high","no","no","yes","no","yes","good","yes",0.00401360083128204
"288","f","_4","high","no","no","yes","no","yes","good","yes",0.00219697275072507
"289","m","_1","low","yes","yes","no","no","yes","good","yes",0.0768162150997626
"290","f","_1","low","yes","yes","no","no","yes","good","yes",0.0560998612082428
"291","m","_2","low","yes","yes","no","no","yes","good","yes",0.172250370666061
"292","f","_2","low","yes","yes","no","no","yes","good","yes",0.109438369403419
"293","m","_3","low","yes","yes","no","no","yes","good","yes",0.248602546419577
"294","f","_3","low","yes","yes","no","no","yes","good","yes",0.171495947261419
"295","m","_4","low","yes","yes","no","no","yes","good","yes",0.0736974552310405
"296","f","_4","low","yes","yes","no","no","yes","good","yes",0.0354761067572659
"297","m","_1","middle","yes","yes","no","no","yes","good","yes",1.28669908488197
"298","f","_1","middle","yes","yes","no","no","yes","good","yes",1.39424931053952
"299","m","_2","middle","yes","yes","no","no","yes","good","yes",0.910302613190945
"300","f","_2","middle","yes","yes","no","no","yes","good","yes",0.858123513242813
"301","m","_3","middle","yes","yes","no","no","yes","good","yes",0.774078905948965
"302","f","_3","middle","yes","yes","no","no","yes","good","yes",0.792297135426292
"303","m","_4","middle","yes","yes","no","no","yes","good","yes",0.165016314551861
"304","f","_4","middle","yes","yes","no","no","yes","good","yes",0.117859585353614
"305","m","_1","high","yes","yes","no","no","yes","good","yes",7.92395430977998
"306","f","_1","high","yes","yes","no","no","yes","good","yes",7.38472600893886
"307","m","_2","high","yes","yes","no","no","yes","good","yes",3.52696991940364
