step_id,agent_id,lockdown,mh,n_contacts
8,5,hard,3.0,3.3
8,6,hard,7.5,9.0
8,7,hard,4.5,4.8
8,8,hard,2.5,2.9
8,9,hard,3.5,6.3
8,10,hard,-1.5,1.9000000000000001
8,11,hard,6.0,6.3
8,12,hard,1.0,4.8
8,13,hard,4.5,1.3000000000000003
8,14,hard,7.0,6.3
8,15,hard,7.0,7.6
8,16,hard,5.0,8.1
8,17,hard,0.5,2.9000000000000004
8,18,hard,-1.0,0.2999999999999998
8,19,hard,2.0,1.5999999999999996
8,20,hard,3.0,-0.20000000000000018
8,21,hard,1.5,6.1
8,22,hard,7.0,3.8
8,23,hard,3.5,8.1
8,24,hard,8.0,5.6
8,25,hard,5.5,8.3
8,26,hard,3.0,1.6999999999999995
8,27,hard,5.0,14.0
8,28,hard,4.0,3.9000000000000004
8,29,hard,8.0,7.6
8,30,hard,7.0,4.3
8,31,hard,2.0,4.8
8,32,hard,0.0,3.5
8,33,hard,3.5,3.6
8,34,hard,7.0,1.9000000000000001
8,35,hard,4.5,5.5
8,36,hard,5.0,5.3
8,37,hard,3.0,3.5
8,38,hard,5.5,6.7
8,39,hard,6.0,3.5999999999999996
8,40,hard,2.0,2.8
8,41,hard,6.0,5.3
8,42,hard,5.5,6.0
8,43,hard,-1.0,1.0000000000000002
8,44,hard,4.0,4.1
8,45,hard,5.0,3.2
8,46,hard,3.0,7.6
8,47,hard,2.0,0.2999999999999998
8,48,hard,10.0,5.6
8,49,hard,9.0,6.8
8,50,hard,4.0,3.1
8,51,hard,6.0,6.8
8,52,hard,3.5,0.30000000000000027
8,53,hard,2.0,3.8
8,54,hard,5.0,2.6999999999999993
8,55,hard,2.0,3.8
